Seed_Value,ML_Model,Hyperparameter_Tuning,Time_Taken,Training_Accuracy,Improvement_Training_Accuracy(%),Training_Precision,Improvement_Training_Precision(%),Training_Recall,Training_Improvement_Recall(%),Training_F1_Score,Training_Improvement_F1_Score(%),Training_ROC_AUC,Training_Improvement_ROC_AUC(%),Testing_Accuracy,Testing_Improvement_Accuracy(%),Testing_Precision,Testing_Improvement_Precision(%),Testing_Recall,Testing_Improvement_Recall_(%),Testing_F1_Score,Testing_Improvement_F1_Score_(%),Testing_ROC_AUC,Testing_Improvement_ROC_AUC_(%),Best_Parameter_Found
42,Logistic Regression,Baseline,0.548432684,0.868265993,0,0.868434883,0,0.868265993,0,0.868249981,0,0.868265993,0,0.837944664,0,0.888946266,0,0.837944664,0,0.853732822,0,0.910991821,0,"{'l1_ratio': None, 'penalty': 'l2', 'solver': 'lbfgs', 'C': 1.0}"
42,Logistic Regression,Simulated Annealing,10.33629413,0.869612795,0.155113912,0.870017203,0.182203633,0.869612795,0.155113912,0.869575204,0.152631426,0.869612795,0.155113912,0.837380011,-0.067385444,0.889378561,0.048629954,0.837380011,-0.067385444,0.853384034,-0.040854509,0.910401811,-0.064765582,"{'penalty': 'l1', 'solver': 'liblinear', 'C': 0.03125}"
42,Logistic Regression,Grid Search,33.78471427,0.869612795,0.15511391,0.870017203,0.18220363,0.869612795,0.15511391,0.869575204,0.152631425,0.869612795,0.15511391,0.837380011,-0.067385444,0.889378561,0.048629954,0.837380011,-0.067385444,0.853384034,-0.040854509,0.910401811,-0.064765582,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 0.03125}"
42,Logistic Regression,Half Grid Search,17.28246245,0.868265993,3.91666E-09,0.868434883,-2.44956E-09,0.868265993,3.91667E-09,0.868249981,2.04433E-09,0.868265993,3.91667E-09,0.837944664,-3.77352E-09,0.888946266,-4.70546E-09,0.837944664,-3.77352E-09,0.853732822,5.1529E-09,0.910979214,-0.001383883,"{'solver': 'sag', 'penalty': 'l2', 'C': 2}"
42,Logistic Regression,Genetic Algorithm,8.263256454,0.869023569,0.087251573,0.869180858,0.085898827,0.869023569,0.087251573,0.869008669,0.087381311,0.869023569,0.087251573,0.83907397,0.134770888,0.889310943,0.04102342,0.83907397,0.134770888,0.854644704,0.106811173,0.911120412,0.014115576,"{'solver': 'newton-cg', 'penalty': 'l2', 'C': 0.125}"
42,Support Vector Classifier,Baseline,32.85485301,0.938636364,0,0.939283896,0,0.938636364,0,0.938612213,0,0.938636364,0,0.907396951,0,0.923457731,0,0.907396951,0,0.912544353,0,0.953926335,0,"{'kernel': 'rbf', 'C': 1.0, 'degree': 3, 'gamma': 'scale'}"
42,Support Vector Classifier,Simulated Annealing,1286.740749,0.957744108,2.035691866,0.958626506,2.059293227,0.957744108,2.035691866,0.957723165,2.036086091,0.957744108,2.035691866,0.91869,1.244554449,0.924403,0.10236186,0.91869,1.244554449,0.92091,0.916738629,0.954879,0.099867818,"{'kernel': 'rbf', 'C': 8, 'degree': 4, 'gamma': 'auto'}"
42,Support Vector Classifier,Grid Search,1548.062494,0.958417508,2.107434309,0.959338176,2.135060564,0.958417508,2.107434309,0.95839609,2.107779634,0.958417508,2.107434309,0.920383964,1.431238336,0.924530628,0.116182492,0.920383964,1.431238336,0.922077537,1.04468166,0.954894555,0.101498426,"{'kernel': 'rbf', 'C': 10, 'gamma': 'auto'}"
42,Support Vector Classifier,Half Grid Search,43.54418464,0.87003367,-7.30876155,0.870324444,-7.341704925,0.87003367,-7.30876155,0.870007375,-7.30917801,0.87003367,-7.30876155,0.833992095,-8.089607961,0.888310463,-3.80605065,0.833992095,-8.089607961,0.850650895,-6.782515115,0.910454761,-4.557120619,"{'kernel': 'linear', 'C': 1, 'gamma': 'scale'}"
42,Support Vector Classifier,Genetic Algorithm,1185.13086,0.958417508,2.107434309,0.959338176,2.135060564,0.958417508,2.107434309,0.95839609,2.107779634,0.958417508,2.107434309,0.920383964,1.431238336,0.924530628,0.116182492,0.920383964,1.431238336,0.922077537,1.04468166,0.954894555,0.101498426,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 10}"
42,Random Forest Classifier,Baseline,6.145494127,0.974242424,0,0.974364979,0,0.974242424,0,0.974240808,0,0.974242424,0,0.950310559,0,0.950990198,0,0.950310559,0,0.950616688,0,0.98191521,0,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
42,Random Forest Classifier,Simulated Annealing,324.0011707,0.975084175,0.086400553,0.975202314,0.085936467,0.975084175,0.086400553,0.975082687,0.086413835,0.975084175,0.086400553,0.952005,0.178303922,0.952081,0.114701697,0.952005,0.178303922,0.952042,0.149935494,0.983041,0.114652452,"{'n_estimators': 250, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 2}"
42,Random Forest Classifier,Grid Search,4275.295081,0.975252525,0.103680664,0.975361441,0.10226784,0.975252525,0.103680664,0.975251156,0.103706184,0.975252525,0.103680664,0.954263,0.415910458,0.954336,0.351822964,0.954263,0.415910458,0.954299,0.387360318,0.983042,0.114754294,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}"
42,Random Forest Classifier,Half Grid Search,2004.071103,0.973905724,-0.034560222,0.974026259,-0.034763139,0.973905724,-0.034560222,0.973904112,-0.0345598,0.973905724,-0.034560222,0.950310559,-6.53556E-10,0.950470083,-0.05469191,0.950310559,-6.53556E-10,0.950388182,-0.024037719,0.982176176,0.0265772,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}"
42,Random Forest Classifier,Genetic Algorithm,243.2663573,0.973896179,-0.035539988,0.974019151,-0.035492639,0.973895818,-0.035576981,0.973894421,-0.035554584,0.973895818,-0.035576981,0.961603614,1.188354132,0.962897694,1.252115545,0.961603614,1.188354132,0.962084893,1.20639635,0.989127623,0.734525007,"{'n_estimators': 200, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 3}"
42,Gradient Boosting Classifier,Baseline,10.72700419,0.96473064,0,0.964787048,0,0.96473064,0,0.964729573,0,0.96473064,0,0.950310559,0,0.95314127,0,0.950310559,0,0.951333434,0,0.981339069,0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}"
42,Gradient Boosting Classifier,Simulated Annealing,1887.040194,0.980050505,1.587994067,0.980113779,1.588612841,0.980050505,1.587994067,0.980049858,1.588039308,0.980050505,1.587994067,0.956522,0.653622222,0.956454,0.347559225,0.956522,0.653622222,0.956488,0.54182543,0.988896,0.770063228,"{'learning_rate': 0.21544347, 'n_estimators': 250, 'subsample': 0.7, 'max_depth': 10}"
42,Gradient Boosting Classifier,Grid Search,65637.03842,0.982154882,1.806125125,0.982192367,1.804058177,0.982154882,1.806125125,0.982154539,1.806202051,0.982154882,1.806125125,0.959909656,1.010101014,0.959729618,0.691224766,0.959909656,1.010101014,0.959814593,0.891502271,0.989775696,0.859705608,"{'learning_rate': 0.21544347, 'max_depth': 7, 'n_estimators': 500, 'subsample': 0.6}"
42,Gradient Boosting Classifier,Half Grid Search,4093.561613,0.980050505,1.587994072,0.980071803,1.584262046,0.980050505,1.587994072,0.980050292,1.588084274,0.980050505,1.587994072,0.964426878,1.485442665,0.964172978,1.157405388,0.964426878,1.485442665,0.964285619,1.361476987,0.990310234,0.914175894,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 500, 'subsample': 0.6}"
42,Gradient Boosting Classifier,Genetic Algorithm,1100.432157,0.978932144,1.472069362,0.978985914,1.471709872,0.978931615,1.472014486,0.978931477,1.472112406,0.978931615,1.472014486,0.967814794,1.841948901,0.96831278,1.591737814,0.967814794,1.841948901,0.968020618,1.754083666,0.993266743,1.215448869,"{'learning_rate': 0.1, 'n_estimators': 200, 'subsample': 0.6, 'max_depth': 7}"
404,Logistic Regression,Baseline,0.664662552,0.865710451,0,0.865807587,0,0.865710451,0,0.865701429,0,0.865710451,0,0.853190288,0,0.893651626,0,0.853190288,0,0.865352058,0,0.919542135,0,"{'l1_ratio': None, 'penalty': 'l2', 'solver': 'lbfgs', 'C': 1.0}"
404,Logistic Regression,Simulated Annealing,10.81658597,0.866633115,0.10657881,0.866714988,0.104804014,0.866633115,0.10657881,0.866625631,0.106757685,0.866633115,0.10657881,0.852060983,-0.132362676,0.893230055,-0.04717392,0.852060983,-0.132362676,0.86441694,-0.108062111,0.920311716,0.083691706,"{'penalty': 'l2', 'solver': 'newton-cg', 'C': 0.125}"
404,Logistic Regression,Grid Search,32.56191315,0.867136387,0.164712716,0.867218344,0.162941157,0.867136387,0.164712716,0.867128988,0.164902073,0.867136387,0.164712716,0.853190288,0,0.893651626,0,0.853190288,0,0.865352058,0,0.922189492,0.287899466,"{'solver': 'saga', 'penalty': 'elasticnet', 'l1_ratio': 1.0, 'C': 0.03125}"
404,Logistic Regression,Half Grid Search,18.59419417,0.865878208,0.019377969,0.865976739,0.019536893,0.865878208,0.019377969,0.865869091,0.019367232,0.865878208,0.019377969,0.852625635,-0.066181344,0.89344044,-0.023631793,0.852625635,-0.066181344,0.864884423,-0.054039821,0.919428948,-0.012309113,"{'solver': 'saga', 'penalty': 'elasticnet', 'l1_ratio': 0.6000000000000001, 'C': 8}"
404,Logistic Regression,Genetic Algorithm,9.992541552,0.866633115,0.10657881,0.866714988,0.104804014,0.866633115,0.10657881,0.866625631,0.106757685,0.866633115,0.10657881,0.852060983,-0.132362676,0.893230055,-0.04717392,0.852060983,-0.132362676,0.86441694,-0.108062111,0.920309348,0.083434197,"{'solver': 'sag', 'penalty': 'l2', 'C': 0.125}"
404,Support Vector Classifier,Baseline,34.08308148,0.934406979,0,0.934958791,0,0.934406979,0,0.93438568,0,0.934406979,0,0.908526256,0,0.921403803,0,0.908526256,0,0.912724327,0,0.958960048,0,"{'kernel': 'rbf', 'C': 1.0, 'degree': 3, 'gamma': 'scale'}"
404,Support Vector Classifier,Simulated Annealing,1522.332763,0.950847173,1.759425494,0.95169635,1.790192109,0.950847173,1.759425494,0.950823687,1.759231455,0.950847173,1.759425494,0.9175607,0.994406462,0.923878492,0.26857813,0.9175607,0.994406462,0.919905206,0.786752296,0.964757949,0.604602988,"{'kernel': 'rbf', 'C': 8, 'degree': 4, 'gamma': 'auto'}"
