Seed_Value,ML_Model,Hyperparameter_Tuning,Time_Taken,Training_Accuracy,Improvement_Training_Accuracy(%),Testing_Accuracy,Testing_Improvement_Accuracy(%),Testing_ROC_AUC,Testing_Improvement_ROC_AUC_(%),Best_Parameter_Found
7,Gradient Boosting Classifier,Half Grid Search,3477.55371,0.98200827,1.338505313,0.963862,1.607119166,0.990352,0.477976895,"{'learning_rate': 0.21544347, 'max_depth': 4, 'n_estimators': 500, 'subsample': 0.8}"
7,Gradient Boosting Classifier,Genetic Algorithm,589.513017,0.982928723,1.43349162,0.962732919,1.488095242,0.989910105,0.433143577,"{'learning_rate': 0.21544347, 'n_estimators': 500, 'subsample': 0.5, 'max_depth': 7}"
7,Logistic Regression,Half Grid Search,18.07248826,0.865439329,0.009668626,0.862224732,0.065530795,0.917378586,0.006953774,"{'solver': 'saga', 'penalty': 'elasticnet', 'l1_ratio': 0.0, 'C': 32}"
7,Logistic Regression,Baseline,0.673814726,0.865355661,0,0.861660079,0,0.917314798,0,"{'l1_ratio': None, 'penalty': 'l2', 'solver': 'lbfgs', 'C': 1.0}"
7,Random Forest Classifier,Half Grid Search,1325.545878,0.975481493,-0.017129722,0.952004517,0.297442,0.984908441,0.095388584,"{'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 200}"
7,Random Forest Classifier,Simulated Annealing,356.9307007,0.976318173,0.068626572,0.954827781,0.594883999,0.984892494,0.093767904,"{'n_estimators': 80, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 5}"
7,Support Vector Classifier,Baseline,35.22160892,0.938159261,0,0.9175607,0,0.958426168,0,"{'kernel': 'rbf', 'C': 1.0, 'degree': 3, 'gamma': 'scale'}"
7,Support Vector Classifier,Genetic Algorithm,1137.219321,0.958410321,2.158595149,0.923207228,0.615384617,0.957006885,-0.148084771,"{'kernel': 'rbf', 'C': 8, 'gamma': 'auto'}"
13,Gradient Boosting Classifier,Half Grid Search,3958.718542,0.979771605,1.389723149,0.968944,1.060060306,0.993949,0.427852957,"{'learning_rate': 0.21544347, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.7}"
13,Gradient Boosting Classifier,Genetic Algorithm,1220.771497,0.978932482,1.302888142,0.966685,0.824448469,0.993027,0.334694777,"{'learning_rate': 0.46415888, 'n_estimators': 150, 'subsample': 0.8, 'max_depth': 5}"
